video_id,title,description,published_at,view_count,like_count,dislike_count,comment_count,Month
BgqD-Bn5Quk,Eminem - Habits (feat. White Gold) [Official Audio],"Eminem - Habits (feat. White Gold) 
'The Death of Slim Shady (Coup De Grâce): Expanded Mourner’s Edition' Out Now: https://eminem.lnk.to/TDOSSExpanded

http://eminem.com
http://facebook.com/eminem
http://twitter.com/eminem
http://instagram.com/eminem

http://shadyrecords.com
http://facebook.com/shadyrecords
http://twitter.com/shadyrecords
http://instagram.com/shadyrecords

#Eminem #TheDeathOfSlimShady #Habits",2024-07-12 04:03:55+00:00,20781865,417463,0,25509,7
nL5W5Xi5jq8,Eminem - Trouble [Official Audio],"Eminem - Trouble
'The Death of Slim Shady (Coup De Grâce): Expanded Mourner’s Edition' Out Now: https://eminem.lnk.to/TDOSSExpanded

http://eminem.com
http://facebook.com/eminem
http://twitter.com/eminem
http://instagram.com/eminem

http://shadyrecords.com
http://facebook.com/shadyrecords
http://twitter.com/shadyrecords
http://instagram.com/shadyrecords

#Eminem #TheDeathofSlimShady #Trouble",2024-07-12 04:03:46+00:00,5558698,93574,0,8230,7
nFDSmhRbtyU,Eminem - Brand New Dance [Official Audio],"Eminem - Brand New Dance
'The Death of Slim Shady (Coup De Grâce): Expanded Mourner’s Edition' Out Now: https://eminem.lnk.to/TDOSSExpanded

http://eminem.com
http://facebook.com/eminem
http://twitter.com/eminem
http://instagram.com/eminem

http://shadyrecords.com
http://facebook.com/shadyrecords
http://twitter.com/shadyrecords
http://instagram.com/shadyrecords

#Eminem #TheDeathOfSlimShady #BrandNewDance",2024-07-12 04:03:41+00:00,10774689,194181,0,13261,7
AuQ36zwFA3s,Eminem - Evil [Official Audio],"Eminem - Evil 
'The Death of Slim Shady (Coup De Grâce): Expanded Mourner’s Edition' Out Now: https://eminem.lnk.to/TDOSSExpanded 

http://eminem.com
http://facebook.com/eminem
http://twitter.com/eminem
http://instagram.com/eminem

http://shadyrecords.com
http://facebook.com/shadyrecords
http://twitter.com/shadyrecords
http://instagram.com/shadyrecords

#Eminem #TheDeathOfSlimShady #Evil",2024-07-12 04:03:34+00:00,9351736,156254,0,9277,7
oewTs7a1t5U,Eminem - All You Got (skit) [Official Audio],"Eminem - All You Got (skit)
'The Death of Slim Shady (Coup De Grâce): Expanded Mourner’s Edition' Out Now: https://eminem.lnk.to/TDOSSExpanded

http://eminem.com
http://facebook.com/eminem
http://twitter.com/eminem
http://instagram.com/eminem

http://shadyrecords.com
http://facebook.com/shadyrecords
http://twitter.com/shadyrecords
http://instagram.com/shadyrecords

#Eminem #TheDeathOfSlimShady #AllYouGot",2024-07-12 04:03:28+00:00,1681966,33728,0,1185,7
rkdLQ7HLLuU,Eminem - Lucifer (feat. Sly Pyper) [Official Audio],"Eminem - Lucifer (feat. Sly Pyper) 
'The Death of Slim Shady (Coup De Grâce): Expanded Mourner’s Edition' Out Now: https://eminem.lnk.to/TDOSSExpanded

http://eminem.com
http://facebook.com/eminem
http://twitter.com/eminem
http://instagram.com/eminem

http://shadyrecords.com
http://facebook.com/shadyrecords
http://twitter.com/shadyrecords
http://instagram.com/shadyrecords

#Eminem #TheDeathOfSlimShady #Lucifer",2024-07-12 04:03:22+00:00,7870932,136675,0,10639,7
wq8ZOm3uwzU,Eminem - Antichrist [Official Audio],"Eminem - Antichrist
'The Death of Slim Shady (Coup De Grâce): Expanded Mourner’s Edition' Out Now: https://eminem.lnk.to/TDOSSExpanded

http://eminem.com
http://facebook.com/eminem
http://twitter.com/eminem
http://instagram.com/eminem

http://shadyrecords.com
http://facebook.com/shadyrecords
http://twitter.com/shadyrecords
http://instagram.com/shadyrecords

#Eminem #TheDeathOfSlimShady #Antichrist",2024-07-12 04:03:17+00:00,9657859,158867,0,13034,7
xVuYQCa9saw,Eminem - Fuel (feat. JID) [Official Audio],"Eminem - Fuel (feat. JID) 
'The Death of Slim Shady (Coup De Grâce): Expanded Mourner’s Edition' Out Now: https://eminem.lnk.to/TDOSSExpanded

http://eminem.com
http://facebook.com/eminem
http://twitter.com/eminem
http://instagram.com/eminem

http://shadyrecords.com
http://facebook.com/shadyrecords
http://twitter.com/shadyrecords
http://instagram.com/shadyrecords

#Eminem #TheDeathOfSlimShady #Fuel",2024-07-12 04:03:11+00:00,22773343,384446,0,20624,7
QZVEGqhfS20,Eminem - Road Rage (feat. Dem Jointz & Sly Pyper) [Official Audio],"Eminem - Road Rage (feat. Dem Jointz & Sly Pyper) 
'The Death of Slim Shady (Coup De Grâce): Expanded Mourner’s Edition' Out Now: https://eminem.lnk.to/TDOSSExpanded

http://eminem.com
http://facebook.com/eminem
http://twitter.com/eminem
http://instagram.com/eminem

http://shadyrecords.com
http://facebook.com/shadyrecords
http://twitter.com/shadyrecords
http://instagram.com/shadyrecords

#Eminem #TheDeathOfSlimShady #RoadRage",2024-07-12 04:03:06+00:00,5006742,85376,0,6153,7
NM8lYDyGuH0,Eminem - Breaking News (skit) [Official Audio],"Eminem - Breaking News (skit) 
'The Death of Slim Shady (Coup De Grâce): Expanded Mourner’s Edition' Out Now: https://eminem.lnk.to/TDOSSExpanded 

http://eminem.com
http://facebook.com/eminem
http://twitter.com/eminem
http://instagram.com/eminem

http://shadyrecords.com
http://facebook.com/shadyrecords
http://twitter.com/shadyrecords
http://instagram.com/shadyrecords

#Eminem #TheDeathOfSlimShady #BreakingNews",2024-07-12 04:03:00+00:00,1185911,27655,0,997,7
5yeGhfL0zCU,Eminem - Guilty Conscience 2 [Official Audio],"Eminem - Guilty Conscience 2 
'The Death of Slim Shady (Coup De Grâce): Expanded Mourner’s Edition' Out Now: https://eminem.lnk.to/TDOSSExpanded

http://eminem.com
http://facebook.com/eminem
http://twitter.com/eminem
http://instagram.com/eminem

http://shadyrecords.com
http://facebook.com/shadyrecords
http://twitter.com/shadyrecords
http://instagram.com/shadyrecords

#Eminem #TheDeathOfSlimShady #GuiltyConscience2",2024-07-12 04:02:54+00:00,11352391,205673,0,17360,7
-vkqC72sAkU,Eminem - Head Honcho (feat. Ez Mil) [Official Audio],"Eminem - Head Honcho (feat. Ez Mil) 
'The Death of Slim Shady (Coup De Grâce): Expanded Mourner’s Edition' Out Now: https://eminem.lnk.to/TDOSSExpanded

http://eminem.com
http://facebook.com/eminem
http://twitter.com/eminem
http://instagram.com/eminem

http://shadyrecords.com
http://facebook.com/shadyrecords
http://twitter.com/shadyrecords
http://instagram.com/shadyrecords

#Emiinem #TheDeathOfSlimShady #HeadHoncho",2024-07-12 04:02:47+00:00,7130607,208482,0,14678,7
drJ508gTslE,Eminem - Temporary (feat. Skylar Grey) [Official Audio],"Eminem - Temporary (feat. Skylar Grey)
'The Death of Slim Shady (Coup De Grâce): Expanded Mourner’s Edition' Out Now: https://eminem.lnk.to/TDOSSExpanded

http://eminem.com
http://facebook.com/eminem
http://twitter.com/eminem
http://instagram.com/eminem

http://shadyrecords.com
http://facebook.com/shadyrecords
http://twitter.com/shadyrecords
http://instagram.com/shadyrecords

#Eminem #TheDeathOfSlimShady #Temporary",2024-07-12 04:02:40+00:00,7462005,186683,0,13214,7
7QqYC0HjyQc,Eminem - Bad One (feat. White Gold) [Official Audio],"Eminem - Bad One (feat. White Gold) 
'The Death of Slim Shady (Coup De Grâce): Expanded Mourner’s Edition' Out Now: https://eminem.lnk.to/TDOSSExpanded

http://eminem.com
http://facebook.com/eminem
http://twitter.com/eminem
http://instagram.com/eminem

http://shadyrecords.com
http://facebook.com/shadyrecords
http://twitter.com/shadyrecords
http://instagram.com/shadyrecords

#Eminem #TheDeathOfSlimShady #BadOne",2024-07-12 04:02:22+00:00,7935575,142656,0,8513,7
4teRzn1-efg,Eminem - Guess Who’s Back (skit) [Official Audio],"Eminem - Guess Who’s Back (skit) 
'The Death of Slim Shady (Coup De Grâce): Expanded Mourner’s Edition' Out Now: https://eminem.lnk.to/TDOSSExpanded

http://eminem.com
http://facebook.com/eminem
http://twitter.com/eminem
http://instagram.com/eminem

http://shadyrecords.com
http://facebook.com/shadyrecords
http://twitter.com/shadyrecords
http://instagram.com/shadyrecords

#Eminem #TheDeathOfSlimShady #GuessWhosBack",2024-07-12 04:02:15+00:00,1682560,49818,0,2997,7
p5QWoWZXu14,Eminem - Somebody Save Me (feat. Jelly Roll) [Official Audio],"Eminem - Somebody Save Me (feat. Jelly Roll)
'The Death of Slim Shady (Coup De Grâce): Expanded Mourner’s Edition' Out Now: https://eminem.lnk.to/TDOSSExpanded

http://eminem.com
http://facebook.com/eminem
http://twitter.com/eminem
http://instagram.com/eminem

http://shadyrecords.com
http://facebook.com/shadyrecords
http://twitter.com/shadyrecords
http://instagram.com/shadyrecords

#Eminem #TheDeathOfSlimShady #SomebodySaveMe",2024-07-12 04:02:09+00:00,10029585,240519,0,15924,7
cIJqIquWPY8,Eminem - The Death of Slim Shady (Basement Trailer),"“He’s locked in my basement…” COUP DE GRÂCE 🤐❌ #TheDeathofSlimShady 7/12

‘The Death of Slim Shady (Coup De Grâce)’ Out Now: https://eminem.lnk.to/TDOSS 

http://eminem.com
http://facebook.com/eminem
http://twitter.com/eminem
http://instagram.com/eminem

http://shadyrecords.com
http://facebook.com/shadyrecords
http://twitter.com/shadyrecords
http://instagram.com/shadyrecords

#Eminem #thedeathofslimshady",2024-07-11 19:17:07+00:00,2279557,107701,0,6757,7
vOJD-6vQpXU,Eminem - The Death of Slim Shady [Graveyard Album Trailer],"“It feels so empty without him” HAWK TUAH 💦🪦
#TheDeathOfSlimShady 7/12

‘The Death of Slim Shady (Coup De Grâce)’ Out Now: https://eminem.lnk.to/TDOSS 

http://eminem.com
http://facebook.com/eminem
http://twitter.com/eminem
http://instagram.com/eminem

http://shadyrecords.com
http://facebook.com/shadyrecords
http://twitter.com/shadyrecords
http://instagram.com/shadyrecords

#Eminem #thedeathofslimshady",2024-07-10 16:12:38+00:00,2288632,131900,0,10278,7
9xn0OHEZZ8Q,Eminem - Tobey (feat. Big Sean & Babytron) [Official Audio],"Eminem - Tobey (feat. Big Sean & Babytron)
Listen: https://eminem.lnk.to/Tobey
Spotify: https://eminem.lnk.to/Tobey/spotify
Apple Music: https://eminem.lnk.to/Tobey/applemusic
YouTube Music: https://eminem.lnk.to/Tobey/youtubemusic

“The Death of Slim Shady” releasing 7/12:
Digital Pre-order: https://Eminem.lnk.to/TheDeathofSlimShadyPresave/officialartiststoreus
Pre-add & Pre-save: https://Eminem.lnk.to/TheDeathofSlimShadyPresave

http://eminem.com
http://facebook.com/eminem
http://twitter.com/eminem
http://instagram.com/eminem

http://shadyrecords.com
http://facebook.com/shadyrecords
http://twitter.com/shadyrecords
http://instagram.com/shadyrecords

#Eminem #Tobey #TheDeathofSlimShady",2024-07-02 16:01:28+00:00,12761725,514462,0,45362,7
X0HIrS6kUYI,Eminem - The Death of Slim Shady [Album Trailer],"THE DEATH OF SLIM SHADY (COUP DE GRÂCE) ☠️ 7/12!!!

http://eminem.com
http://facebook.com/eminem
http://twitter.com/eminem
http://instagram.com/eminem

http://shadyrecords.com
http://facebook.com/shadyrecords
http://twitter.com/shadyrecords
http://instagram.com/shadyrecords

#Eminem #thedeathofslimshady",2024-07-01 23:37:03+00:00,3504786,154517,0,10899,7
tY3J8GKFCJc,🎥 I do my own stunts.,"#Houdini video shoot behind the scenes- don’t try this at home!!!

Listen now: https://Eminem.lnk.to/Houdini

http://eminem.com
http://facebook.com/eminem
http://twitter.com/eminem
http://instagram.com/eminem

http://shadyrecords.com
http://facebook.com/shadyrecords
http://twitter.com/shadyrecords
http://instagram.com/shadyrecords

#eminem #houdini #shorts",2024-06-11 16:52:12+00:00,19902388,1168084,0,10566,6
ki1uRq8CDsM,Step thru the portal… Houdini video out now 🪄🎩,"http://eminem.com
http://facebook.com/eminem
http://twitter.com/eminem
http://instagram.com/eminem

http://shadyrecords.com
http://facebook.com/shadyrecords
http://twitter.com/shadyrecords
http://instagram.com/shadyrecords",2024-06-03 21:44:15+00:00,2573185,130669,0,2053,6
MS1QT6Rig6I,#HOUDINI 🎩 out now!,"http://eminem.lnk.to/Houdini
#thedeathofslimshady thx Steve Miller Band !!!

http://eminem.com
http://facebook.com/eminem
http://twitter.com/eminem
http://instagram.com/eminem

http://shadyrecords.com
http://facebook.com/shadyrecords
http://twitter.com/shadyrecords
http://instagram.com/shadyrecords",2024-05-31 04:45:05+00:00,1490369,115596,0,2934,5
22tVWwmTie8,Eminem - Houdini [Official Music Video],"Eminem - Houdini [Official Music Video]

Eminem - Houdini
Listen: https://eminem.lnk.to/TDOSSExpanded 

http://eminem.com
https://www.facebook.com/eminem
https://twitter.com/eminem
https://www.instagram.com/eminem

http://shadyrecords.com
https://www.facebook.com/ShadyRecords/
https://twitter.com/shadyrecords
https://www.instagram.com/shadyrecords

Director: Rich Lee
Director of Photography: Chris Probst
Producers: Justin Diener, Kathy Angstadt, Lisa Arianna
Production Company: Synapse
Finishing: Flawless Post
 
AI by Metaphysic
Supervisors: Jo Plaete & Chris Ume

#Eminem #Houdini #THEDEATHOFSLIMSHADY #COUPDEGRÂCE #ExpandedMournersEdition 

Music video by Eminem performing Houdini. © 2024 Marshall B. Mathers III

http://vevo.ly/7uCyh7",2024-05-31 04:00:02+00:00,229429163,5011373,0,263397,5
rcqiBUmNWdM,Please do not try this at home. Or anywhere else. 🐰🎩🪄,"http://eminem.com
http://facebook.com/eminem
http://twitter.com/eminem
http://instagram.com/eminem

http://shadyrecords.com
http://facebook.com/shadyrecords
http://twitter.com/shadyrecords
http://instagram.com/shadyrecords

#eminem #houdini ni #davidblaine",2024-05-29 12:13:40+00:00,2736462,149692,0,3164,5
rc6VJ6ze95g,...and for my last trick,"http://eminem.com
#eminem",2024-05-21 01:36:00+00:00,1088090,67918,0,2729,5
5dPXGzyZqI8,Eminem - THE DEATH OF SLIM SHADY (COUP DE GRÂCE),"THE DEATH OF SLIM SHADY (COUP DE GRÂCE)
Summer 2024.
https://shop.eminem.com/

http://eminem.com
http://facebook.com/eminem
http://twitter.com/eminem
http://instagram.com/eminem

http://shadyrecords.com
http://facebook.com/shadyrecords
http://twitter.com/shadyrecords
http://instagram.com/shadyrecords

#Eminem #TheDeathofSlimShady #CoupDeGrace",2024-04-26 03:24:16+00:00,3691829,171760,0,9537,4
C2dhJiHQDgU,Eminem - The Making of 'My Name Is' (Vevo Footnotes),"Eminem - The Making of 'My Name Is' (Vevo Footnotes)

Watch music videos by Eminem: https://www.youtube.com/channel/UCfM3zsQsOnfWNUppiycmBuw

An enviable wit, a valuable sense of silliness, and one of the most powerful voices that hip-hop has delivered us. When Eminem’s “My Name Is” premiered in 1999, those elements, as well as an full-on earworm beat from Dr Dre, united to deliver an unforgettable music video. To celebrate its 25th anniversary, we connected with Mr. Mathers himself to fill us in on the lay of the land back then. The iconic MC was just getting his start, and as he says in our Footnotes interview, from Dre sampling Labi Siffre’s 1975 jam “I Got The…,” to finding a 7'7"" dude to play the ventriloquist, to getting a bit out of his head while playing Bill Clinton, the “My Name Is” shoot was quite a leap into the bigtime. Is it one of your favorite classics? Do you want to know how it all came about? Right this way...

REMASTERED IN HD!

iTunes: http://smarturl.it/WithoutMe  
Amazon: http://smarturl.it/WithoutMeAmz 
Google Play: http://smarturl.it/WithoutMeGP  

Follow Eminem
Instagram: https://www.instagram.com/eminem
Twitter: https://twitter.com/eminem
Facebook: https://www.facebook.com/eminem

Follow Vevo
https://www.facebook.com/Vevo/
https://www.instagram.com/vevo/
https://www.tiktok.com/@vevo
https://twitter.com/Vevo

Playlist Best of Eminem: https://goo.gl/AquNpo

Subscribe for more: https://goo.gl/DxCrDV

Executive Producer: Chris Pereira
Producer: Ronni Leverich
Editor: Austin Prahl
Design: Sydney Emery
Format developed by: Sydney Emery, Justin Brown, Austin Prahl
Senior Manager, Post Production: Dominic Siri
Music & Talent: Justin Prager + Gabby Prisciandaro + David McTiernan

(C) 2002 Aftermath Records


#Eminem  #MyNameIs  #Remastered  #TheSlimShadyLP",2024-03-07 17:00:13+00:00,2264238,64047,0,3793,3
omZCg-oFK2Y,Lyrical Lemonade – “Doomsday Pt. 2” with Eminem (Visualizer),"Listen to “All Is Yellow”: https://lyricallemonade.lnk.to/AllIsYellow

http://eminem.com
http://facebook.com/eminem
http://twitter.com/eminem
http://instagram.com/eminem

http://shadyrecords.com
http://facebook.com/shadyrecords
http://twitter.com/shadyrecords
http://instagram.com/shadyrecords

#AllIsYellow #Eminem",2024-01-27 00:29:22+00:00,3162191,122310,0,9878,1
By7NMf3C7xk,Eminem | Fortnite’s The Big Bang Event,"Eminem | Fortnite’s The Big Bang Event | #shorts 

Watch: https://youtu.be/gmlKBsPCiUk 

Shop the EMINEM X FORTNITE Capsule on the Official Eminem Store: shop.eminem.com 

http://eminem.com
http://facebook.com/eminem
http://twitter.com/eminem
http://instagram.com/eminem

http://shadyrecords.com
http://facebook.com/shadyrecords
http://twitter.com/shadyrecords
http://instagram.com/shadyrecords

#eminem #fortnite #thebigbang",2023-12-02 22:57:31+00:00,4494551,287833,0,3800,12
gmlKBsPCiUk,Eminem Takes the Stage in Fortnite’s The Big Bang Event,"Eminem makes a world-shattering appearance in Fortnite’s The Big Bang event.

PHOTOSENSITIVITY/SEIZURES WARNING: This sequence of Fortnite's Big Bang event contains flashing lights. If you have a history of photosensitivity, consult a doctor before entering the event or watching this video. IMMEDIATELY DISCONTINUE if you experience any discomfort.

Shop the EMINEM X FORTNITE Capsule on the Official Eminem Store – http://shop.eminem.com/

http://eminem.com
http://facebook.com/eminem
http://twitter.com/eminem
http://instagram.com/eminem

http://shadyrecords.com
http://facebook.com/shadyrecords
http://twitter.com/shadyrecords
http://instagram.com/shadyrecords

#eminem #fortnite #thebigbang",2023-12-02 20:15:44+00:00,11872653,294978,0,13166,12
